problem,values,case_id,task,kernel,case_name,service_name,profile
swiglu,"{""K"": 1024, ""M"": 4096, ""N"": 3072}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/swiglu_M4096_N3072_K1024_numpy_2.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/swiglu_M4096_N3072_K1024_0.py,swiglu_K1024_M4096_N3072,swiglu_K1024_M4096_N3072_ID0,"{""latency"": 4.221777, ""min_ms"": 4.218223999999999, ""max_ms"": 4.225924, ""rel_diffs"": 0.0018254127803551227, ""hbm_read_bytes"": 141623296, ""hbm_write_bytes"": 83886080, ""psum_read_bytes"": 835584, ""psum_write_bytes"": 19136512, ""sbuf_read_bytes"": 109182976, ""sbuf_write_bytes"": 143638528, ""spill_reload_bytes"": 83886080, ""spill_save_bytes"": 67108864, ""hardware_flops"": 156766306304, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 685.642545771578, ""hfu_estimated_percent"": 0.41411530289275283, ""scalar_engine_active_time_percent"": 0.09331290680344906, ""vector_engine_active_time_percent"": 0.13473373139898395, ""gpsimd_engine_active_time_percent"": 0.000717737082076154}"
matmul_add_rmsnorm,"{""K"": 2048, ""M"": 4096, ""N"": 2048}",1,/home/ubuntu/AccelOpt/NKIBench/./reference/matmul_add_rmsnorm_M4096_N2048_K2048_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/matmul_add_rmsnorm_M4096_N2048_K2048_0.py,matmul_add_rmsnorm_K2048_M4096_N2048,matmul_add_rmsnorm_K2048_M4096_N2048_ID0,"{""latency"": 2.66658, ""min_ms"": 2.6644949999999996, ""max_ms"": 2.668886, ""rel_diffs"": 0.0016479670631772544, ""hbm_read_bytes"": 98115584, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 1318912, ""psum_write_bytes"": 10493952, ""sbuf_read_bytes"": 49029888, ""sbuf_write_bytes"": 99959168, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 85899870208, ""transpose_flops"": 17179869184, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 521.9107820568655, ""hfu_estimated_percent"": 0.36897167068783493, ""scalar_engine_active_time_percent"": 0.1678625340200107, ""vector_engine_active_time_percent"": 0.12419785152366919, ""gpsimd_engine_active_time_percent"": 0.0011352644052111582}"
add_rmsnorm_matmul,"{""K"": 1024, ""M"": 4096, ""N"": 2048}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/add_rmsnorm_matmul_M4096_N2048_K1024_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/add_rmsnorm_matmul_M4096_N2048_K1024_0.py,add_rmsnorm_matmul_K1024_M4096_N2048,add_rmsnorm_matmul_K1024_M4096_N2048_ID0,"{""latency"": 1.221911, ""min_ms"": 1.219585, ""max_ms"": 1.223863, ""rel_diffs"": 0.0035077505872899424, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 790528, ""psum_write_bytes"": 5246976, ""sbuf_read_bytes"": 41292544, ""sbuf_write_bytes"": 43065728, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 42949935104, ""transpose_flops"": 8589934592, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.41916950814520165, ""scalar_engine_active_time_percent"": 0.22544565543334344, ""vector_engine_active_time_percent"": 0.14844821857940613, ""gpsimd_engine_active_time_percent"": 0.004347224135124858}"
matmul,"{""K"": 5120, ""M"": 4096, ""N"": 12288}",3,/home/ubuntu/AccelOpt/NKIBench/./reference/matmul_M4096_N12288_K5120_numpy_2.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/matmul_M4096_N12288_K5120_0.py,matmul_K5120_M4096_N12288,matmul_K5120_M4096_N12288_ID0,"{""latency"": 35.199742, ""min_ms"": 35.165400999999996, ""max_ms"": 35.248906000000005, ""rel_diffs"": 0.002374635227393241, ""hbm_read_bytes"": 9059762176, ""hbm_write_bytes"": 201326592, ""psum_read_bytes"": 9437184, ""psum_write_bytes"": 141557760, ""sbuf_read_bytes"": 390070272, ""sbuf_write_bytes"": 9069199360, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 1159641169920, ""transpose_flops"": 128849018880, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 111.30356018200732, ""hfu_estimated_percent"": 0.3599390440716965, ""scalar_engine_active_time_percent"": 0.06802961330956193, ""vector_engine_active_time_percent"": 4.16984238779581e-06, ""gpsimd_engine_active_time_percent"": 0.0006857777435035958}"
gqa_full,"{""B"": 1, ""D"": 128, ""KH"": 8, ""N"": 4096, ""QH"": 16}",0,/home/ubuntu/AccelOpt/NKIBench/./reference/gqa_full_B1_N4096_QH16_KH8_D128_numpy_2.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/gqa_full_B1_N4096_QH16_KH8_D128_0.py,gqa_full_B1_D128_KH8_N4096_QH16,gqa_full_B1_D128_KH8_N4096_QH16_ID0,"{""latency"": 19.110503, ""min_ms"": 19.105258, ""max_ms"": 19.114796, ""rel_diffs"": 0.0004992342945590768, ""hbm_read_bytes"": 1194393600, ""hbm_write_bytes"": 1132986368, ""psum_read_bytes"": 17432576, ""psum_write_bytes"": 51150848, ""sbuf_read_bytes"": 1256198144, ""sbuf_write_bytes"": 1228607488, ""spill_reload_bytes"": 1127219200, ""spill_save_bytes"": 1099431936, ""hardware_flops"": 418759311360, ""transpose_flops"": 143881404416, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 118.10615830822516, ""hfu_estimated_percent"": 0.23843847514090952, ""scalar_engine_active_time_percent"": 0.38597222224498373, ""vector_engine_active_time_percent"": 0.31386626669325846, ""gpsimd_engine_active_time_percent"": 0.0016558011310815726}"
rmsnorm_matmul,"{""K"": 1024, ""M"": 4096, ""N"": 2048}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/rmsnorm_matmul_M4096_N2048_K1024_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/rmsnorm_matmul_M4096_N2048_K1024_0.py,rmsnorm_matmul_K1024_M4096_N2048,rmsnorm_matmul_K1024_M4096_N2048_ID0,"{""latency"": 1.05576, ""min_ms"": 1.049849, ""max_ms"": 1.060082, ""rel_diffs"": 0.00974711601382669, ""hbm_read_bytes"": 39387136, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 393472, ""psum_write_bytes"": 4456704, ""sbuf_read_bytes"": 39846016, ""sbuf_write_bytes"": 40173824, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507222016, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 471.0584007187781, ""hfu_estimated_percent"": 0.40992951201553357, ""scalar_engine_active_time_percent"": 0.17750705431023017, ""vector_engine_active_time_percent"": 0.0387800620142612, ""gpsimd_engine_active_time_percent"": 0.005086295470539929}"
rope_single_freq_apply,"{""B"": 1, ""H"": 64, ""N"": 4096, ""D"": 128}",1,/home/ubuntu/AccelOpt/NKIBench/./reference/rope_single_freq_apply_B1_H64_N4096_D128_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/rope_single_freq_apply_B1_H64_N4096_D128_0.py,rope_single_freq_apply_B1_D128_H64_N4096,rope_single_freq_apply_B1_D128_H64_N4096_ID0,"{""latency"": 4.33301, ""min_ms"": 4.331856999999999, ""max_ms"": 4.33399, ""rel_diffs"": 0.0004923985256209074, ""hbm_read_bytes"": 268435456, ""hbm_write_bytes"": 134217728, ""sbuf_read_bytes"": 136314880, ""sbuf_write_bytes"": 270532608, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.14111698433373762, ""vector_engine_active_time_percent"": 0.7164212276647561, ""gpsimd_engine_active_time_percent"": 0.007401791060677716}"
bmm,"{""B"": 16, ""K"": 64, ""M"": 4096, ""N"": 4096}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/bmm_B16_M4096_K64_N4096_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/bmm_B16_M4096_K64_N4096_0.py,bmm_B16_K64_M4096_N4096,bmm_B16_K64_M4096_N4096_ID0,"{""latency"": 4.610889, ""min_ms"": 4.605054, ""max_ms"": 4.619498, ""rel_diffs"": 0.003136553881887188, ""hbm_read_bytes"": 67436544, ""hbm_write_bytes"": 1086324736, ""psum_read_bytes"": 8650752, ""psum_write_bytes"": 17301504, ""sbuf_read_bytes"": 1108082688, ""sbuf_write_bytes"": 76087296, ""spill_reload_bytes"": 33816576, ""spill_save_bytes"": 12582912, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 59.5612610053962, ""hfu_estimated_percent"": 0.16223637657688642, ""scalar_engine_active_time_percent"": 0.3725796722076541, ""vector_engine_active_time_percent"": 3.0755423029578e-05, ""gpsimd_engine_active_time_percent"": 0.026057301164791213}"
bmm_softmax,"{""B"": 16, ""K"": 64, ""M"": 4096, ""N"": 4096}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/bmm_softmax_B16_K64_M4096_N4096_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/bmm_softmax_B16_K64_M4096_N4096_0.py,bmm_softmax_B16_K64_M4096_N4096,bmm_softmax_B16_K64_M4096_N4096_ID0,"{""latency"": 11.999614000000001, ""min_ms"": 11.995044, ""max_ms"": 12.003772, ""rel_diffs"": 0.0007276338461117462, ""hbm_read_bytes"": 794361856, ""hbm_write_bytes"": 1827405824, ""psum_read_bytes"": 16955392, ""psum_write_bytes"": 17334272, ""sbuf_read_bytes"": 1874298880, ""sbuf_write_bytes"": 819675136, ""spill_reload_bytes"": 756547584, ""spill_save_bytes"": 753664000, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 26.211123609548807, ""hfu_estimated_percent"": 0.06445001601685468, ""scalar_engine_active_time_percent"": 0.43404200746383176, ""vector_engine_active_time_percent"": 0.4638674165596265, ""gpsimd_engine_active_time_percent"": 0.010344609470157562}"
transpose_matmul,"{""K"": 2048, ""M"": 4096, ""N"": 10944}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/transpose_matmul_M4096_K2048_N10944_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/transpose_matmul_M4096_K2048_N10944_0.py,transpose_matmul_K2048_M4096_N10944,transpose_matmul_K2048_M4096_N10944_ID0,"{""latency"": 9.610311, ""min_ms"": 9.606482, ""max_ms"": 9.613470000000001, ""rel_diffs"": 0.0007274255029053871, ""hbm_read_bytes"": 392167424, ""hbm_write_bytes"": 179306496, ""psum_read_bytes"": 1400832, ""psum_write_bytes"": 46137344, ""sbuf_read_bytes"": 236978176, ""sbuf_write_bytes"": 393568256, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 377957122048, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 661.3724770642202, ""hfu_estimated_percent"": 0.4345979333450909, ""scalar_engine_active_time_percent"": 0.03794637727598188, ""vector_engine_active_time_percent"": 1.5448071099686097e-05, ""gpsimd_engine_active_time_percent"": 0.0023436970062009886}"
lora,"{""K"": 5120, ""M"": 4096, ""N"": 12288, ""R"": 128}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/lora_M4096_N12288_K5120_R128_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/lora_M4096_N12288_K5120_R128_0.py,lora_K5120_M4096_N12288_R128,lora_K5120_M4096_N12288_R128_ID0,"{""latency"": 30.16637, ""min_ms"": 30.161014, ""max_ms"": 30.171962999999998, ""rel_diffs"": 0.00036301829905309365, ""hbm_read_bytes"": 2341797888, ""hbm_write_bytes"": 1269563392, ""psum_read_bytes"": 4472832, ""psum_write_bytes"": 136057344, ""sbuf_read_bytes"": 1443963392, ""sbuf_write_bytes"": 2346270720, ""spill_reload_bytes"": 1907097600, ""spill_save_bytes"": 1068236800, ""hardware_flops"": 1114581762048, ""transpose_flops"": 47282388992, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 295.53935214590325, ""hfu_estimated_percent"": 0.40366426292482466, ""scalar_engine_active_time_percent"": 0.034446963223463335, ""vector_engine_active_time_percent"": 0.098055592781463, ""gpsimd_engine_active_time_percent"": 0.0018322627404995684}"
adamw,"{""M"": 10944, ""N"": 2048}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/adamw_M10944_N2048_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/adamw_M10944_N2048_0.py,adamw_M10944_N2048,adamw_M10944_N2048_ID0,"{""latency"": 1.9998289999999999, ""min_ms"": 1.994566, ""max_ms"": 2.005252, ""rel_diffs"": 0.005357556480958751, ""hbm_read_bytes"": 358612992, ""hbm_write_bytes"": 89653248, ""psum_write_bytes"": 2113536, ""sbuf_read_bytes"": 95993856, ""sbuf_write_bytes"": 362840064, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.6162108089769912, ""vector_engine_active_time_percent"": 0.9001726880099149, ""gpsimd_engine_active_time_percent"": 0.0059427486146838085}"
silu,"{""M"": 4096, ""N"": 7168}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/silu_M4096_N7168_numpy_0.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/silu_M4096_N7168_0.py,silu_M4096_N7168,silu_M4096_N7168_ID0,"{""latency"": 1.333232, ""min_ms"": 1.332204, ""max_ms"": 1.33405, ""rel_diffs"": 0.0013856736655947696, ""hbm_read_bytes"": 117440512, ""hbm_write_bytes"": 117440512, ""sbuf_read_bytes"": 120193024, ""sbuf_write_bytes"": 120193024, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.31480337032995714, ""vector_engine_active_time_percent"": 0.7387849379303731, ""gpsimd_engine_active_time_percent"": 0.011804421021376792}"
mamba,"{""C"": 256, ""M"": 7168, ""S"": 16}",2,/home/ubuntu/AccelOpt/NKIBench/./reference/mamba_M7168_C256_S16_numpy_1.py,/home/ubuntu/AccelOpt/NKIBench/./kernels/mamba_M7168_C256_S16_0.py,mamba_C256_M7168_S16,mamba_C256_M7168_S16_ID0,"{""latency"": 2.888663, ""min_ms"": 2.88259, ""max_ms"": 2.8963550000000002, ""rel_diffs"": 0.004775219507456922, ""hbm_read_bytes"": 181682176, ""hbm_write_bytes"": 62390272, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 65143296, ""sbuf_write_bytes"": 184434688, ""spill_reload_bytes"": 55050240, ""spill_save_bytes"": 55050240, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.48117070551117674, ""hfu_estimated_percent"": 0.00045907386478095496, ""scalar_engine_active_time_percent"": 0.18617154597645577, ""vector_engine_active_time_percent"": 0.6131518651432173, ""gpsimd_engine_active_time_percent"": 0.0003827223540591918}"
