case_name,experiment,iter,plan_id,exp_date,best_speedup,avg_good_speedup,kernel_metadata
adamw_M10944_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('adamw_M10944_N2048_ID0', 'plan_8_1')",eval-11-11-11-09-04-11-11-16-50,0.9999614981904148,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.9999060000000002, ""min_ms"": 1.996951, ""max_ms"": 2.003094, ""rel_diffs"": 0.003076189651123142, ""hbm_read_bytes"": 358612992, ""hbm_write_bytes"": 89653248, ""psum_write_bytes"": 2818048, ""sbuf_read_bytes"": 95993856, ""sbuf_write_bytes"": 362135552, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.6515482689673282, ""vector_engine_active_time_percent"": 0.909488829558143, ""gpsimd_engine_active_time_percent"": 0.006061672313076022}"
adamw_M10944_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('adamw_M10944_N2048_IDf167e5a40fae48029649f1a5eb242e1c', 'plan_3_0')",eval-11-11-11-09-04-11-11-18-30,1.0592297787662412,"{""1.0"": 18, ""1.01"": 2, ""1.05"": 1, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.888003, ""min_ms"": 1.880762, ""max_ms"": 1.8982400000000001, ""rel_diffs"": 0.009293041862819488, ""hbm_read_bytes"": 358612992, ""hbm_write_bytes"": 89653248, ""psum_write_bytes"": 2818048, ""sbuf_read_bytes"": 95993856, ""sbuf_write_bytes"": 362135552, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0, ""hfu_estimated_percent"": 0, ""scalar_engine_active_time_percent"": 0.6560984150467546, ""vector_engine_active_time_percent"": 0.9549500066165773, ""gpsimd_engine_active_time_percent"": 0.006407508890790016}"
add_rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('add_rmsnorm_matmul_K1024_M4096_N2048_ID0', 'plan_1_0')",eval-2-11-11-09-04-11-11-16-50,1.0000597460547143,"{""1.0"": 2, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.221838, ""min_ms"": 1.216408, ""max_ms"": 1.226275, ""rel_diffs"": 0.008111587559437352, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 790528, ""psum_write_bytes"": 5246976, ""sbuf_read_bytes"": 41292544, ""sbuf_write_bytes"": 43065728, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 42949935104, ""transpose_flops"": 8589934592, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.41999121074537726, ""scalar_engine_active_time_percent"": 0.22589119498069718, ""vector_engine_active_time_percent"": 0.1487707236867395, ""gpsimd_engine_active_time_percent"": 0.004356385744734648}"
add_rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('add_rmsnorm_matmul_K1024_M4096_N2048_IDb22c27a21e87435299541057a8790ccb', 'plan_0_0')",eval-2-11-11-09-04-11-11-18-30,1.0000425581020396,"{""1.0"": 1, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.221859, ""min_ms"": 1.214584, ""max_ms"": 1.224869, ""rel_diffs"": 0.008467919880386927, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 790528, ""psum_write_bytes"": 5246976, ""sbuf_read_bytes"": 41292544, ""sbuf_write_bytes"": 43065728, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 42949935104, ""transpose_flops"": 8589934592, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.4249121820482679, ""scalar_engine_active_time_percent"": 0.22914448780707708, ""vector_engine_active_time_percent"": 0.15028930985285407, ""gpsimd_engine_active_time_percent"": 0.004407436096527683}"
add_rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('add_rmsnorm_matmul_K1024_M4096_N2048_ID89d9b703d7e64ea98dfe93f3bf6d19ac', 'plan_10_0')",eval-2-11-11-09-04-11-11-19-12,1.1584631326859245,"{""1.0"": 2, ""1.01"": 2, ""1.05"": 2, ""1.1"": 2, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.054769, ""min_ms"": 1.051075, ""max_ms"": 1.0598560000000001, ""rel_diffs"": 0.008354303926932094, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 397312, ""psum_write_bytes"": 4460544, ""sbuf_read_bytes"": 39719680, ""sbuf_write_bytes"": 42672512, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507484160, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.41965722467376765, ""scalar_engine_active_time_percent"": 0.1622360161963433, ""vector_engine_active_time_percent"": 0.17608570778044716, ""gpsimd_engine_active_time_percent"": 0.009242492227745605}"
add_rmsnorm_matmul_K1024_M4096_N2048,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",3,"('add_rmsnorm_matmul_K1024_M4096_N2048_ID1dc1494e86424b3dafe1b32c430ab5a3', 'plan_8_0')",eval-2-11-11-09-04-11-11-20-08,1.1582522955824908,"{""1.0"": 26, ""1.01"": 23, ""1.05"": 23, ""1.1"": 22, ""1.2"": 0, ""1.4"": 0}","{""latency"": 1.054961, ""min_ms"": 1.051403, ""max_ms"": 1.0600919999999998, ""rel_diffs"": 0.00826419555584274, ""hbm_read_bytes"": 42012672, ""hbm_write_bytes"": 33554432, ""psum_read_bytes"": 397312, ""psum_write_bytes"": 4460544, ""sbuf_read_bytes"": 39588608, ""sbuf_write_bytes"": 42541440, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 36507484160, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 454.6952138327281, ""hfu_estimated_percent"": 0.41586465716530313, ""scalar_engine_active_time_percent"": 0.13441010097242076, ""vector_engine_active_time_percent"": 0.24138802760566275, ""gpsimd_engine_active_time_percent"": 0.009129110396549456}"
bmm_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('bmm_B16_K64_M4096_N4096_ID0', 'plan_9_0')",eval-7-11-11-09-04-11-11-16-50,1.0000414253980634,"{""1.0"": 4, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 4.610698, ""min_ms"": 4.6061000000000005, ""max_ms"": 4.6145700000000005, ""rel_diffs"": 0.0018388658518052098, ""hbm_read_bytes"": 67436544, ""hbm_write_bytes"": 1086324736, ""psum_read_bytes"": 8650752, ""psum_write_bytes"": 17301504, ""sbuf_read_bytes"": 1108082688, ""sbuf_write_bytes"": 76087296, ""spill_reload_bytes"": 33816576, ""spill_save_bytes"": 12582912, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 59.5612610053962, ""hfu_estimated_percent"": 0.1629121316284857, ""scalar_engine_active_time_percent"": 0.37425451035443397, ""vector_engine_active_time_percent"": 3.088331613241333e-05, ""gpsimd_engine_active_time_percent"": 0.02616553155662756}"
bmm_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('bmm_B16_K64_M4096_N4096_IDb1f38835af5846259a3c166cc0b20f4e', 'plan_1_1')",eval-7-11-11-09-04-11-11-18-30,1.0002290755435175,"{""1.0"": 20, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 4.609833, ""min_ms"": 4.598854, ""max_ms"": 4.614517, ""rel_diffs"": 0.0034058485005177335, ""hbm_read_bytes"": 67436544, ""hbm_write_bytes"": 1086324736, ""psum_read_bytes"": 8650752, ""psum_write_bytes"": 17301504, ""sbuf_read_bytes"": 1108082688, ""sbuf_write_bytes"": 76087296, ""spill_reload_bytes"": 33816576, ""spill_save_bytes"": 12582912, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 59.5612610053962, ""hfu_estimated_percent"": 0.16273304079706177, ""scalar_engine_active_time_percent"": 0.37382563062358953, ""vector_engine_active_time_percent"": 3.084957650192155e-05, ""gpsimd_engine_active_time_percent"": 0.02613661963982322}"
bmm_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,"('bmm_B16_K64_M4096_N4096_ID0445d0b481d34ad5980e4a5f4c3528d6', 'plan_0_1')",eval-7-11-11-09-04-11-11-19-50,1.064081593091496,"{""1.0"": 12, ""1.01"": 1, ""1.05"": 1, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 4.333209999999999, ""min_ms"": 4.3301490000000005, ""max_ms"": 4.334553, ""rel_diffs"": 0.00101705507131491, ""hbm_read_bytes"": 33619968, ""hbm_write_bytes"": 1073741824, ""psum_read_bytes"": 8650752, ""psum_write_bytes"": 17301504, ""sbuf_read_bytes"": 1095499776, ""sbuf_write_bytes"": 42270720, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 62.05693318340534, ""hfu_estimated_percent"": 0.17194556074312625, ""scalar_engine_active_time_percent"": 0.3932470344424538, ""vector_engine_active_time_percent"": 3.2595341571110096e-05, ""gpsimd_engine_active_time_percent"": 0.027618160026574325}"
bmm_softmax_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('bmm_softmax_B16_K64_M4096_N4096_ID0', 'plan_8_0')",eval-8-11-11-09-04-11-11-16-50,0.9999812497484343,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 11.999839, ""min_ms"": 11.995280000000001, ""max_ms"": 12.003632999999999, ""rel_diffs"": 0.0006963572338451319, ""hbm_read_bytes"": 794361856, ""hbm_write_bytes"": 1827405824, ""psum_read_bytes"": 16955392, ""psum_write_bytes"": 17334272, ""sbuf_read_bytes"": 1874298880, ""sbuf_write_bytes"": 819675136, ""spill_reload_bytes"": 756547584, ""spill_save_bytes"": 753664000, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 26.211123609548807, ""hfu_estimated_percent"": 0.06444901732439721, ""scalar_engine_active_time_percent"": 0.4341389563889465, ""vector_engine_active_time_percent"": 0.46378084812974335, ""gpsimd_engine_active_time_percent"": 0.010344506915400778}"
bmm_softmax_B16_K64_M4096_N4096,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('bmm_softmax_B16_K64_M4096_N4096_IDc6dfbc37d5b44236b5c542774bfd577e', 'plan_2_1')",eval-8-11-11-09-04-11-11-18-30,1.000059755492526,"{""1.0"": 6, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 11.998897, ""min_ms"": 11.994485, ""max_ms"": 12.001457, ""rel_diffs"": 0.0005812671406901662, ""hbm_read_bytes"": 794361856, ""hbm_write_bytes"": 1827405824, ""psum_read_bytes"": 16955392, ""psum_write_bytes"": 17334272, ""sbuf_read_bytes"": 1874298880, ""sbuf_write_bytes"": 819675136, ""spill_reload_bytes"": 756547584, ""spill_save_bytes"": 753664000, ""hardware_flops"": 70866960384, ""transpose_flops"": 2147483648, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 26.211123609548807, ""hfu_estimated_percent"": 0.06444309487799872, ""scalar_engine_active_time_percent"": 0.43407783977037967, ""vector_engine_active_time_percent"": 0.4637534218388437, ""gpsimd_engine_active_time_percent"": 0.01034355907566032}"
gqa_full_B1_D128_KH8_N4096_QH16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('gqa_full_B1_D128_KH8_N4096_QH16_ID0', 'plan_7_0')",eval-4-11-11-09-04-11-11-16-50,0.9993825014141858,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 19.122311, ""min_ms"": 19.108679, ""max_ms"": 19.167428, ""rel_diffs"": 0.0030744668430508666, ""hbm_read_bytes"": 1194393600, ""hbm_write_bytes"": 1132986368, ""psum_read_bytes"": 17432576, ""psum_write_bytes"": 51150848, ""sbuf_read_bytes"": 1256198144, ""sbuf_write_bytes"": 1228607488, ""spill_reload_bytes"": 1127219200, ""spill_save_bytes"": 1099431936, ""hardware_flops"": 418759311360, ""transpose_flops"": 143881404416, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 118.10615830822516, ""hfu_estimated_percent"": 0.23850944294744464, ""scalar_engine_active_time_percent"": 0.3861672503937193, ""vector_engine_active_time_percent"": 0.3138518723643312, ""gpsimd_engine_active_time_percent"": 0.0016562569060332764}"
gqa_full_B1_D128_KH8_N4096_QH16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('gqa_full_B1_D128_KH8_N4096_QH16_ID9902c57752e441898123db683fcf21aa', 'plan_10_0')",eval-4-11-11-09-04-11-11-18-30,1.106405374290676,"{""1.0"": 2, ""1.01"": 2, ""1.05"": 2, ""1.1"": 2, ""1.2"": 0, ""1.4"": 0}","{""latency"": 17.272605, ""min_ms"": 17.220557, ""max_ms"": 17.283261, ""rel_diffs"": 0.00364122949100892, ""hbm_read_bytes"": 1466040320, ""hbm_write_bytes"": 81854464, ""psum_read_bytes"": 17432576, ""psum_write_bytes"": 51150848, ""sbuf_read_bytes"": 205066240, ""sbuf_write_bytes"": 1500254208, ""spill_reload_bytes"": 1002504192, ""spill_save_bytes"": 48300032, ""hardware_flops"": 418759311360, ""transpose_flops"": 143881404416, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 177.58177738261568, ""hfu_estimated_percent"": 0.26591973890074033, ""scalar_engine_active_time_percent"": 0.43156332972106687, ""vector_engine_active_time_percent"": 0.3414299579284205, ""gpsimd_engine_active_time_percent"": 0.0018545901757065658}"
lora_K5120_M4096_N12288_R128,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,,eval-10-11-11-09-04-11-11-16-50,0.0,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}",
lora_K5120_M4096_N12288_R128,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('lora_K5120_M4096_N12288_R128_ID6ea6f74b25bb45e8b34ea6142806935a', 'plan_5_0')",eval-10-11-11-09-04-11-11-18-30,1.0000192933796392,"{""1.0"": 1, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 30.165788, ""min_ms"": 30.113508, ""max_ms"": 30.222230999999997, ""rel_diffs"": 0.003610439540952774, ""hbm_read_bytes"": 2341797888, ""hbm_write_bytes"": 1269563392, ""psum_read_bytes"": 4472832, ""psum_write_bytes"": 136057344, ""sbuf_read_bytes"": 1443963392, ""sbuf_write_bytes"": 2346270720, ""spill_reload_bytes"": 1907097600, ""spill_save_bytes"": 1068236800, ""hardware_flops"": 1114581762048, ""transpose_flops"": 47282388992, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 295.53935214590325, ""hfu_estimated_percent"": 0.40392455575144537, ""scalar_engine_active_time_percent"": 0.034458050717084916, ""vector_engine_active_time_percent"": 0.09819473001724384, ""gpsimd_engine_active_time_percent"": 0.0018334915446603062}"
lora_K5120_M4096_N12288_R128,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",2,,eval-10-11-11-09-04-11-11-19-45,0.0,"{""1.0"": 0, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}",
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",0,"('mamba_C256_M7168_S16_ID0', 'plan_6_0')",eval-13-11-11-09-04-11-11-16-50,1.000159614874583,"{""1.0"": 2, ""1.01"": 0, ""1.05"": 0, ""1.1"": 0, ""1.2"": 0, ""1.4"": 0}","{""latency"": 2.8882019999999997, ""min_ms"": 2.884032, ""max_ms"": 2.893787, ""rel_diffs"": 0.0033824173934270427, ""hbm_read_bytes"": 181682176, ""hbm_write_bytes"": 62390272, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 65143296, ""sbuf_write_bytes"": 184434688, ""spill_reload_bytes"": 55050240, ""spill_save_bytes"": 55050240, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.48117070551117674, ""hfu_estimated_percent"": 0.00045769081027937573, ""scalar_engine_active_time_percent"": 0.1856093164046864, ""vector_engine_active_time_percent"": 0.6112966454794925, ""gpsimd_engine_active_time_percent"": 0.00038156825148503835}"
mamba_C256_M7168_S16,"TopK=8, ExpN=16, B=6, N=12, K=2, T=16, gpt-oss-120b, gpt-oss-120b",1,"('mamba_C256_M7168_S16_ID445700ada6dd4daaab9a961cb6f46aea', 'plan_6_0')",eval-13-11-11-09-04-11-11-18-30,1.268324799279223,"{""1.0"": 10, ""1.01"": 10, ""1.05"": 8, ""1.1"": 2, ""1.2"": 2, ""1.4"": 0}","{""latency"": 2.277542, ""min_ms"": 2.2729880000000002, ""max_ms"": 2.2823930000000003, ""rel_diffs"": 0.00413772532015132, ""hbm_read_bytes"": 126631936, ""hbm_write_bytes"": 7340032, ""psum_read_bytes"": 1835008, ""psum_write_bytes"": 1835008, ""sbuf_read_bytes"": 10093056, ""sbuf_write_bytes"": 129384448, ""spill_reload_bytes"": 0, ""spill_save_bytes"": 0, ""hardware_flops"": 117440512, ""peak_flops_bandwidth_ratio"": 223.781463973542, ""mm_arithmetic_intensity"": 0.8766051118992295, ""hfu_estimated_percent"": 0.0005867708436267972, ""scalar_engine_active_time_percent"": 0.23821417650303459, ""vector_engine_active_time_percent"": 0.7835998706076757, ""gpsimd_engine_active_time_percent"": 0.0004888530066492978}"
